prices,address,no_beds,baths,sqft
219900, 14400 Vandever St Austin TX 78725 ,3,2,1476
390000, 192 Village Oak Dr Austin TX 78737 ,3,3,2790
235000, 4713 Lake George Ln #185 Austin TX 78754 ,3,2,1704
499900, 9704 Chukar Cir Austin TX 78758 ,3,2,1308
550000, 149 Catalina Ln Austin TX 78737 ,3,3,2101
750000, 12221 Palisades Pkwy Austin TX 78732 ,3,3,1886
375000, 10006 Baden Ln Austin TX 78754 ,3,2,1650
350000, 14812 Avery Ranch Blvd APT 28 Austin TX 78717 ,3,2,1201
235000, 9009 North Plz UNIT 121 Austin TX 78753 ,3,2,1326
6500000, 1855 Westlake Dr Austin TX 78746 ,3,2,1112
375000, 2605 Enfield Rd APT 221 Austin TX 78703 ,3,3,1753
539500, 12524 Capitol Saddlery Trl Austin TX 78732 ,3,3,1813
249900, 6510 Stonleigh Pl Austin TX 78744 ,3,4,1826
495000, 5705 Woodrow Ave Austin TX 78756 ,3,3,2522
499900, 2936 Persimmon Valley Trl Austin TX 78732 ,3,3,2041
380990, The Reagan Plan Pioneer Hill ,3,2,1476
549000, 3212 Magenta Sky Trl Austin TX 78732 ,3,2,2640
270000, 2316 Elara Dr Austin TX 78725 ,3,2,1291
270000, 12339 Tomanet Trl Austin TX 78758 ,3,2,1065
600000, 12504 Silver Spur Austin TX 78727 ,3,2,2339
729900, 8110 Ranch Road 2222 APT 98 Austin TX 78730 ,3,3,2133
358990, The Jefferson Plan Pioneer Hill ,3,2,1512
285000, 1113 Peggotty Pl Austin TX 78753 ,3,2,1291
349900, 8105 Boggy Ridge Dr Austin TX 78748 ,3,2,1518
399999, 3607 Oak Creek Dr Austin TX 78727 ,3,2,1654
369000, 1402 Meadgreen Cir Austin TX 78758 ,3,2,1663
459900, 4517 Norman Trl Austin TX 78749 ,3,2,1744
299000, 11700 Saddle Rock Dr Austin TX 78725 ,3,2,1496
249000, 5215 Coppermead Ln Austin TX 78754 ,3,2,1186
400000, 7009 Millrace Dr Austin TX 78724 ,3,2,1304
415000, 10505 Beard Ave Austin TX 78748 ,3,3,1945
370000, 4006 Kandy Dr Austin TX 78749 ,3,2,1314
460000, 6512 Starstreak Dr Austin TX 78745 ,3,2,2640
369000, 7505 Peccary Dr Austin TX 78744 ,3,2,1291
429999, 12509 Limerick Ave Austin TX 78727 ,3,2,1065
1695000, 1801 Carlotta Ln Austin TX 78733 ,3,2,2339
325000, 7003 Woodhue Dr #A Austin TX 78745 ,3,3,2133
450000, 13233 Briar Hollow Dr Austin TX 78729 ,3,2,1512
375000, 11417 American Mustang Loop Manor TX 78653 ,3,2,1291
1400000, 11512 Eagles Glen Dr Austin TX 78732 ,3,2,1518
774000, 5510 Duval St Austin TX 78751 ,3,2,1654
1280000, 2109 Real Catorce Dr Austin TX 78746 ,3,2,1663
210000, 1015 E Yager Ln UNIT 175 Austin TX 78753 ,3,2,1744
339000, 4714 Cypress Bnd Austin TX 78744 ,3,2,1496
700000, 400 Mediterra Point Austin TX 78732 ,3,2,1186
335000, 12105 Verchota Dr Austin TX 78748 ,3,2,1304
549000, 9517 Prescott Dr Austin TX 78749 ,3,3,1945
550000, 181 Rock Vista Run Austin TX 78737 ,3,2,1314
454000, 7713 Kiva Dr Austin TX 78749 ,3,2,2640
875000, 207 Lessin Ln Austin TX 78704 ,3,2,1291
600000, 10116 Palmbrook Dr Austin TX 78717 ,3,2,1065
384500, 12125 Terraza Cir TH 62 Austin TX 78726 ,3,2,2339
489000, 6103 Pennwood Ln Austin TX 78745 ,3,3,2133
199900, 2401 Manor Rd APT 208 Austin TX 78722 ,3,2,1512
450000, 11101 Hidden Bluff Dr Austin TX 78754 ,3,2,1291
500000, 6302 Clubway Ln Austin TX 78745 ,3,2,1518
5900000, 2300 Portofino Ridge Dr Austin TX 78735 ,3,2,1654
279000, 300 Crockett St APT 101 Austin TX 78704 ,3,2,1663
373000, 1202 Oak Shadows Cir Austin TX 78758 ,3,2,1744
675000, 603 Davis St APT 1804 Austin TX 78701 ,3,2,1496
245000, 810 Banister Ln #862 Austin TX 78704 ,3,2,1186
339000, 11715 Budley S Degroot Ln Austin TX 78748 ,3,2,1304
405000, 13501 Metric Blvd #30 Austin TX 78727 ,3,3,1945
485000, 1900 Barton Springs Rd UNIT 3030 Austin TX 78704 ,3,2,1314
599000, Knoll Plan Alder ,3,2,2640
655000, 4519 Roundup Trl Austin TX 78745 ,3,2,1291
315000, 5800 Alomar Cv Del Valle TX 78617 ,3,2,1065
415000, 4409 Destinys Gate Dr Austin TX 78727 ,3,2,2339
250000, 12504 Mexicana Cv Del Valle TX 78617 ,3,3,2133
550000, 4901 Allison Cv Austin TX 78741 ,3,2,1512
284900, 2008 Nogales Trl Austin TX 78744 ,3,2,1291
774900, 5700 Westslope Dr Austin TX 78731 ,3,2,1518
139000, 1308 Applegate Dr E Austin TX 78753 ,3,2,1654
440000, 908 Berrywood Dr Austin TX 78753 ,3,2,1663
205000, 2401 Manor Rd APT 122 Austin TX 78722 ,3,2,1744
298990, Kingston Plan Forest Bluff ,3,2,1496
375000, 7904 Swindon Ln Austin TX 78745 ,3,2,1186
1325000, 2202 Montclaire St Austin TX 78704 ,3,2,1304
3500000, 14116 Flat Top Ranch Rd Austin TX 78732 ,3,3,1945
1400000, 52 Waller St APT B Austin TX 78702 ,3,2,1314
329990, 15004 Drusillas Dr Pflugerville TX 78660 ,3,2,2640
785000, 4100 Bradwood Rd Austin TX 78722 ,3,2,1291
950000, 2610 Oak Crest Ave Austin TX 78704 ,3,2,1065
589000, 3109 Sacbe Cv Austin TX 78745 ,3,2,2339
249000, Bee Cave Rd Austin TX 78746 ,3,3,2133
185000, 8818 Merion Cir Austin TX 78754 ,3,2,1512
399900, 2609 Monarch Dr Austin TX 78748 ,3,2,1291
829000, 6306 Abilene Trl Austin TX 78749 ,3,2,1518
518000, 14821 Crystal Spring Way Austin TX 78737 ,3,2,1654
100000, 6133 Old Fredericksbrg Rd Austin TX 78749 ,3,2,1663
295000, 8813 Winter Haven Rd Austin TX 78747 ,3,2,1744
825000, 4202 Avenue B Austin TX 78751 ,3,2,1496
650000, 3413 Indigo Waters Dr Austin TX 78732 ,3,2,1186
295000, 4702 Creek Bend Dr Austin TX 78744 ,3,2,1304
399000, 6917 Cherry Meadow Dr Austin TX 78745 ,3,3,1945
249000, 2510 San Gabriel St Austin TX 78705 ,3,2,1314
699000, 5705 Medicine Creek Dr Austin TX 78735 ,3,2,2640
335000, 7907 Marble Ridge Dr Austin TX 78747 ,3,2,1291
289900, 8904 Meridian Oak Ln Austin TX 78744 ,3,2,1065
350000, 2933 Eckert St Austin TX 78722 ,3,2,2339
395000, 555 E 5th St APT 725 Austin TX 78701 ,3,3,2133
599900, 2324 Santa Maria St Austin TX 78702 ,3,2,1512
450000, 1105 Holly St UNIT 2 Austin TX 78702 ,3,2,1291
325000, 4502 Turnstone Dr Austin TX 78744 ,3,2,1518
575000, 1174 Bedford St UNIT 2 Austin TX 78702 ,3,2,1654
390000, 1500 Miami Dr APT C Austin TX 78733 ,3,2,1663
459900, 16101 Windroot St Austin TX 78728 ,3,2,1744
280000, 2632 Century Park Blvd UNIT 76 Austin TX 78727 ,3,2,1496
949000, 11407 Sierra Blanca St Austin TX 78726 ,3,2,1186
259900, 6208 Walker Ln Austin TX 78741 ,3,2,1304
995000, 4405 Shoalwood Ave Austin TX 78756 ,3,3,1945
649000, 616 Montopolis Dr Austin TX 78741 ,3,2,1314
414990, Rosemont II Plan Parker Station ,3,2,2640
